address,city,country,name,name_url,num_animals,num_species,state
18628 US Route 15,Allenwood,United States,Clyde Peeling's Reptiland,https://en.wikipedia.org/wiki/Clyde_Peeling%27s_Reptiland,40,40,Pennsylvania
4850 Powell Rd,Powell,United States,Columbus Zoo and Aquarium,https://en.wikipedia.org/wiki/Columbus_Zoo_and_Aquarium,"more than 7,000","more than 7,000",Ohio
1101 McCallie Ave,Chattanooga,United States,Chattanooga Zoo at Warner Park,https://en.wikipedia.org/wiki/Chattanooga_Zoo_at_Warner_Park,860 (2012),860 (2012),Tennessee
3900 Wildlife Way,Cleveland,United States,Cleveland Metroparks Zoo,https://en.wikipedia.org/wiki/Cleveland_Metroparks_Zoo,3000,3000,Ohio
3400 Vine Street,Cincinnati,United States,Cincinnati Zoo and Botanical Garden,https://en.wikipedia.org/wiki/Cincinnati_Zoo_and_Botanical_Garden,"1,896","1,896",Ohio
3300 Golf Road,Brookfield,United States,Chicago Zoological Society - Brookfield Zoo,https://en.wikipedia.org/wiki/Brookfield_Zoo,2300,2300,Illinois
4250 Cheyenne Mount Zoo Rd,Colorado Springs,United States,Cheyenne Mountain Zoological Park,https://en.wikipedia.org/wiki/Cheyenne_Mountain_Zoo,750,750,Colorado
9305 Pismo Ave,Atascadero,United States,Charles Paddock Zoo,https://en.wikipedia.org/wiki/Charles_Paddock_Zoo,100+,100+,California
1004 R J Hughes Dr,Wahpeton,United States,Chahinkapa Zoo,https://en.wikipedia.org/wiki/Chahinkapa_Zoo,200+,200+,North Dakota
4 Moore Rd Dn 801,Cape May County Court House,United States,Cape May County Park Zoo,https://en.wikipedia.org/wiki/Cape_May_County_Park_%26_Zoo,550,550,New Jersey
830 5th Ave,New York City,United States,Central Park Zoo,https://en.wikipedia.org/wiki/Central_Park_Zoo,,,New York
201 County St,Attleboro,United States,Capron Park Zoo,https://en.wikipedia.org/wiki/Capron_Park_Zoo,100,100,Massachusetts
1701 N 4th St,Waco,United States,Cameron Park Zoo,https://en.wikipedia.org/wiki/Cameron_Park_Zoo,"1,731","1,731",Texas
700 State Drive,Los Angeles,United States,California Science Center,https://en.wikipedia.org/wiki/California_Science_Center,,,California
